2016-10-22 14:25:07.311994 (166)  	0 i_am_infected_as_patient_zero
2016-10-22 14:25:12.321648 (74)  	0 i_am_infected_by_rumor_mongering
2016-10-22 14:25:12.321705 (37)  	0 i_am_infected_by_anti_entropy
2016-10-22 14:25:12.326929 (18)  	0 i_am_infected_by_rumor_mongering
2016-10-22 14:25:12.331723 (37)  	0 duplicate_received
2016-10-22 14:25:12.873558 (166)  	1 duplicate_received
2016-10-22 14:25:12.876127 (74)  	0 duplicate_received
2016-10-22 14:25:12.879085 (55)  	0 i_am_infected_by_rumor_mongering
2016-10-22 14:25:14.984816 (166)  	1 duplicate_received
2016-10-22 14:25:14.986898 (18)  	1 duplicate_received
2016-10-22 14:25:14.990211 (55)  	0 duplicate_received
2016-10-22 14:25:16.726487 (166)  	1 duplicate_received
