2016-10-24 16:18:01.679727 (18)  	0 i_am_infected_as_patient_zero
2016-10-24 16:18:06.689417 (112)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:06.694989 (21)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:06.700079 (167)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:06.704608 (19)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.45448 (41)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.50165 (170)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.54914 (171)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.59137 (59)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.767162 (150)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.771944 (57)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.777135 (2)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.782507 (96)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.807748 (151)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.813318 (76)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.818565 (111)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:07.823636 (59)  	0 duplicate_received
2016-10-24 16:18:08.84447 (115)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.89960 (75)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.94819 (21)  	0 duplicate_received
2016-10-24 16:18:08.100068 (1)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.105878 (166)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.114075 (38)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.118433 (1)  	0 duplicate_received
2016-10-24 16:18:08.111158 (76)  	1 duplicate_received
2016-10-24 16:18:08.467284 (56)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.472299 (151)  	1 duplicate_received
2016-10-24 16:18:08.474457 (132)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.479630 (21)  	0 duplicate_received
2016-10-24 16:18:08.487980 (58)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:08.493028 (1)  	0 duplicate_received
2016-10-24 16:18:08.496401 (41)  	1 duplicate_received
2016-10-24 16:18:08.498873 (148)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:09.971603 (56)  	0 duplicate_received
2016-10-24 16:18:09.974375 (115)  	1 duplicate_received
2016-10-24 16:18:09.976735 (149)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:09.981485 (167)  	0 duplicate_received
2016-10-24 16:18:10.61069 (111)  	1 duplicate_received
2016-10-24 16:18:10.63788 (170)  	0 duplicate_received
2016-10-24 16:18:10.66842 (21)  	0 duplicate_received
2016-10-24 16:18:10.69472 (167)  	0 duplicate_received
2016-10-24 16:18:10.260016 (56)  	0 duplicate_received
2016-10-24 16:18:10.262523 (115)  	1 duplicate_received
2016-10-24 16:18:10.264956 (131)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.265772 (149)  	1 duplicate_received
2016-10-24 16:18:10.269803 (1)  	0 duplicate_received
2016-10-24 16:18:10.269361 (133)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.272133 (166)  	1 duplicate_received
2016-10-24 16:18:10.274454 (170)  	0 duplicate_received
2016-10-24 16:18:10.330351 (171)  	1 duplicate_received
2016-10-24 16:18:10.333330 (1)  	0 duplicate_received
2016-10-24 16:18:10.335946 (167)  	0 duplicate_received
2016-10-24 16:18:10.338457 (129)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.377111 (150)  	1 duplicate_received
2016-10-24 16:18:10.379403 (19)  	1 duplicate_received
2016-10-24 16:18:10.382064 (132)  	0 duplicate_received
2016-10-24 16:18:10.385196 (96)  	1 duplicate_received
2016-10-24 16:18:10.442920 (131)  	1 duplicate_received
2016-10-24 16:18:10.445962 (92)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.450559 (20)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.451066 (131)  	1 duplicate_received
2016-10-24 16:18:10.455891 (166)  	1 duplicate_received
2016-10-24 16:18:10.465032 (93)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.469838 (20)  	1 duplicate_received
2016-10-24 16:18:10.472670 (18)  	1 duplicate_received
2016-10-24 16:18:10.476727 (56)  	1 duplicate_received
2016-10-24 16:18:10.479266 (57)  	1 duplicate_received
2016-10-24 16:18:10.481860 (2)  	1 duplicate_received
2016-10-24 16:18:10.484655 (74)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.570198 (39)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.574331 (170)  	1 duplicate_received
2016-10-24 16:18:10.576777 (41)  	1 duplicate_received
2016-10-24 16:18:10.579642 (75)  	0 duplicate_received
2016-10-24 16:18:10.876974 (56)  	1 duplicate_received
2016-10-24 16:18:10.879805 (170)  	1 duplicate_received
2016-10-24 16:18:10.882351 (148)  	1 duplicate_received
2016-10-24 16:18:10.885503 (113)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:10.996973 (41)  	1 duplicate_received
2016-10-24 16:18:11.238 (40)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:11.4984 (96)  	1 duplicate_received
2016-10-24 16:18:11.7608 (149)  	2 duplicate_received
2016-10-24 16:18:11.133634 (18)  	1 duplicate_received
2016-10-24 16:18:11.136280 (148)  	1 duplicate_received
2016-10-24 16:18:11.139015 (93)  	1 duplicate_received
2016-10-24 16:18:11.151358 (74)  	1 duplicate_received
2016-10-24 16:18:11.245639 (75)  	0 duplicate_received
2016-10-24 16:18:11.248002 (1)  	1 duplicate_received
2016-10-24 16:18:11.250997 (21)  	1 duplicate_received
2016-10-24 16:18:11.253342 (93)  	1 duplicate_received
2016-10-24 16:18:11.265132 (18)  	1 duplicate_received
