2016-10-24 17:18:54.558493 (129)  	0 i_am_infected_as_patient_zero
2016-10-24 17:18:59.568439 (167)  	0 i_am_infected_by_rumor_mongering
2016-10-24 17:18:59.570914 (148)  	0 i_am_infected_by_anti_entropy
2016-10-24 17:18:59.573331 (114)  	0 i_am_infected_by_rumor_mongering
2016-10-24 17:19:00.557321 (18)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:00.771300 (37)  	0 i_am_infected_by_rumor_mongering
2016-10-24 17:19:00.771767 (22)  	0 i_am_infected_by_anti_entropy
2016-10-24 17:19:00.776804 (92)  	1 i_am_infected_by_rumor_mongering
2016-10-24 17:19:01.467949 (93)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.180331 (111)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.589770 (134)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.604980 (39)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.640902 (150)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.644135 (40)  	0 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.766649 (170)  	0 i_am_infected_by_rumor_mongering
2016-10-24 17:19:02.770102 (130)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:02.771620 (21)  	1 i_am_infected_by_rumor_mongering
2016-10-24 17:19:03.209010 (93)  	1 duplicate_received
2016-10-24 17:19:03.211916 (18)  	1 duplicate_received
2016-10-24 17:19:03.229183 (95)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:03.460264 (166)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:03.690814 (1)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:03.949550 (169)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:04.105964 (20)  	1 i_am_infected_by_rumor_mongering
2016-10-24 17:19:04.106530 (152)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:04.110016 (59)  	1 i_am_infected_by_rumor_mongering
2016-10-24 17:19:04.370825 (19)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:04.568177 (78)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:04.568141 (166)  	2 duplicate_received
2016-10-24 17:19:04.570578 (94)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:04.571024 (131)  	1 i_am_infected_by_rumor_mongering
2016-10-24 17:19:05.28718 (41)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:05.71139 (76)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:05.397386 (96)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:05.556829 (75)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:05.559805 (133)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:05.671293 (166)  	2 duplicate_received
2016-10-24 17:19:05.674148 (56)  	2 i_am_infected_by_rumor_mongering
2016-10-24 17:19:08.300464 (57)  	3 i_am_infected_by_anti_entropy
2016-10-24 17:19:08.461958 (113)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:08.686204 (3)  	1 i_am_infected_by_anti_entropy
2016-10-24 17:19:08.800636 (74)  	2 i_am_infected_by_anti_entropy
2016-10-24 17:19:09.856103 (149)  	3 i_am_infected_by_anti_entropy
2016-10-24 17:19:10.152399 (55)  	3 i_am_infected_by_anti_entropy
