2016-10-24 19:30:58.393071 (129)  	0 i_am_infected_as_patient_zero
2016-10-24 19:31:33.687747 (41)  	VIEW_CONTENT 37 12 25 43 6 24 17 26 20
2016-10-24 19:31:33.762069 (61)  	VIEW_CONTENT 48 48 37 44 47 26 36 42 31
2016-10-24 19:31:33.859253 (37)  	VIEW_CONTENT 5 23 6 7 3 26 35 5 43
2016-10-24 19:31:33.910335 (111)  	VIEW_CONTENT 7 4 1 43 46 5 7 16 27
2016-10-24 19:31:35.857482 (77)  	VIEW_CONTENT 30 18 6 30 13 43 12 26 16
2016-10-24 19:31:35.883408 (21)  	VIEW_CONTENT 27 35 1 42 26 27 5 31 18
2016-10-24 19:31:35.923542 (169)  	VIEW_CONTENT 26 19 30 5 42 26 6 10 35
2016-10-24 19:31:35.963505 (56)  	VIEW_CONTENT 10 37 7 8 27 43 35 21 30
2016-10-24 19:31:36.65385 (148)  	VIEW_CONTENT 8 7 49 23 39 31 2 46 30
2016-10-24 19:31:36.100151 (76)  	VIEW_CONTENT 22 39 44 20 21 14 42 49 19
2016-10-24 19:31:36.130076 (18)  	VIEW_CONTENT 3 12 24 15 16 42 4 33 13
2016-10-24 19:31:36.158292 (96)  	VIEW_CONTENT 33 24 37 23 42 25 38 6 48
2016-10-24 19:31:36.192632 (166)  	VIEW_CONTENT 2 48 32 23 13 16 45 2 38
2016-10-24 19:31:36.165681 (153)  	VIEW_CONTENT 46 26 36 46 50 42 39 9 25
2016-10-24 19:31:36.248364 (113)  	VIEW_CONTENT 23 37 50 40 17 39 31 33 34
2016-10-24 19:31:36.280881 (168)  	VIEW_CONTENT 20 20 26 40 16 42 32 47 34
2016-10-24 19:31:36.283045 (132)  	VIEW_CONTENT 25 6 39 24 11 10 34 20 25
2016-10-24 19:31:36.365794 (131)  	VIEW_CONTENT 19 31 42 36 46 32 26 33 2
2016-10-24 19:31:36.394083 (129)  	VIEW_CONTENT 1 13 35 10 25 24 30 46 39
2016-10-24 19:31:36.418533 (167)  	VIEW_CONTENT 12 34 22 32 31 47 44 49 42
2016-10-24 19:31:36.434664 (149)  	VIEW_CONTENT 16 25 5 46 34 29 14 49 18
2016-10-24 19:31:36.495828 (78)  	VIEW_CONTENT 38 33 23 34 26 45 2 24 13
2016-10-24 19:31:36.435575 (97)  	VIEW_CONTENT 41 2 20 13 16 29 24 33 9
2016-10-24 19:31:36.521701 (115)  	VIEW_CONTENT 39 25 34 8 24 21 12 1 44
2016-10-24 19:31:36.637485 (58)  	VIEW_CONTENT 28 44 14 17 4 40 15 36 9
2016-10-24 19:31:36.639532 (92)  	VIEW_CONTENT 4 16 13 27 33 46 15 40 50
2016-10-24 19:31:36.639124 (38)  	VIEW_CONTENT 17 42 25 49 30 12 34 18 24
2016-10-24 19:31:36.650615 (22)  	VIEW_CONTENT 35 30 6 13 43 29 1 8 26
2016-10-24 19:31:36.663432 (152)  	VIEW_CONTENT 40 38 27 43 40 13 33 15 29
2016-10-24 19:31:36.680836 (19)  	VIEW_CONTENT 9 13 25 29 35 41 16 32 40
2016-10-24 19:31:36.706461 (95)  	VIEW_CONTENT 24 19 31 3 24 37 42 27 2
2016-10-24 19:31:36.707714 (114)  	VIEW_CONTENT 29 24 18 41 23 47 11 29 26
2016-10-24 19:31:36.656757 (59)  	VIEW_CONTENT 34 50 20 37 34 9 7 18 49
2016-10-24 19:31:36.731044 (42)  	VIEW_CONTENT 45 4 30 40 13 14 46 43 37
2016-10-24 19:31:36.745227 (171)  	VIEW_CONTENT 44 47 35 46 5 12 49 34 41
2016-10-24 19:31:36.745150 (130)  	VIEW_CONTENT 11 11 29 14 23 50 9 35 7
2016-10-24 19:31:36.784026 (151)  	VIEW_CONTENT 31 28 49 7 22 4 43 14 42
2016-10-24 19:31:36.718802 (134)  	VIEW_CONTENT 43 37 16 44 27 39 30 50 25
2016-10-24 19:31:36.825267 (74)  	VIEW_CONTENT 6 12 16 7 17 37 26 13 30
2016-10-24 19:31:36.827551 (112)  	VIEW_CONTENT 15 16 5 11 33 10 47 32 4
2016-10-24 19:31:36.837235 (57)  	VIEW_CONTENT 21 12 42 14 46 6 16 21 20
2016-10-24 19:31:36.894410 (1)  	VIEW_CONTENT 14 4 40 14 45 43 47 20 15
2016-10-24 19:31:36.895929 (24)  	VIEW_CONTENT 49 6 35 33 49 47 21 12 43
2016-10-24 19:31:37.60843 (23)  	VIEW_CONTENT 42 4 44 42 11 21 46 48 1
2016-10-24 19:31:37.84089 (4)  	VIEW_CONTENT 36 29 9 35 39 48 50 36 37
2016-10-24 19:31:37.269939 (98)  	VIEW_CONTENT 50 50 42 28 36 9 32 24 49
2016-10-24 19:31:37.296576 (3)  	VIEW_CONTENT 32 35 29 42 50 12 32 14 11
2016-10-24 19:31:37.305279 (75)  	VIEW_CONTENT 13 30 46 16 13 50 8 39 20
2016-10-24 19:31:37.327213 (94)  	VIEW_CONTENT 18 11 22 49 17 46 13 36 43
2016-10-24 19:31:37.348403 (172)  	VIEW_CONTENT 47 35 44 43 41 49 46 48 14
