2016-10-24 21:32:47.936445 (55)  	0 i_am_infected_as_patient_zero
2016-10-24 21:32:55.760835 (74)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:56.493633 (130)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:57.539350 (79)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:57.758975 (76)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:32:57.944827 (55)  	5 duplicate_received
2016-10-24 21:32:57.944775 (114)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:32:57.949612 (92)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:32:57.952270 (129)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:32:58.18675 (172)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.53832 (56)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.58800 (41)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.146378 (55)  	5 duplicate_received
2016-10-24 21:32:58.148516 (92)  	6 duplicate_received
2016-10-24 21:32:58.153002 (129)  	4 duplicate_received
2016-10-24 21:32:58.270903 (93)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.412786 (55)  	5 duplicate_received
2016-10-24 21:32:58.412445 (171)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.423003 (92)  	6 duplicate_received
2016-10-24 21:32:58.433472 (129)  	5 duplicate_received
2016-10-24 21:32:58.493779 (131)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.666420 (168)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.784637 (61)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:58.834846 (134)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.125720 (112)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.282756 (148)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.492639 (19)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.700235 (97)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.707936 (37)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.730622 (4)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.760840 (167)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.818176 (20)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.788122 (94)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.945039 (169)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:59.950939 (129)  	5 duplicate_received
2016-10-24 21:32:59.945659 (55)  	6 duplicate_received
2016-10-24 21:32:59.948567 (92)  	6 duplicate_received
2016-10-24 21:33:00.18267 (22)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.55886 (116)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.113786 (170)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.149137 (57)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.157133 (55)  	6 duplicate_received
2016-10-24 21:33:00.159731 (92)  	7 duplicate_received
2016-10-24 21:33:00.247525 (78)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.162001 (129)  	5 duplicate_received
2016-10-24 21:33:00.177585 (111)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.412705 (55)  	6 duplicate_received
2016-10-24 21:33:00.414884 (92)  	7 duplicate_received
2016-10-24 21:33:00.430085 (129)  	6 duplicate_received
2016-10-24 21:33:00.413736 (77)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.692769 (75)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.725913 (96)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.835762 (115)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.845983 (98)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:00.871363 (3)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.122073 (23)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.460589 (58)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.513185 (2)  	8 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.521500 (150)  	8 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.649493 (39)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.648944 (5)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.751726 (151)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.781807 (40)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.868660 (133)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.884158 (21)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:01.945173 (55)  	7 duplicate_received
2016-10-24 21:33:01.947838 (92)  	7 duplicate_received
2016-10-24 21:33:01.950213 (129)  	6 duplicate_received
2016-10-24 21:33:02.799703 (59)  	8 i_am_infected_by_anti_entropy
