2016-10-24 21:34:46.123249 (18)  	0 i_am_infected_as_patient_zero
2016-10-24 21:34:56.138414 (132)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:34:56.141640 (92)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:34:56.150351 (75)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:34:56.154603 (169)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:34:56.726207 (113)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:56.736859 (95)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:56.971120 (21)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:57.571341 (114)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:57.657365 (115)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.137838 (78)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.219647 (167)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.222526 (1)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.216973 (22)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.221073 (24)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.227314 (37)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.357495 (74)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.487593 (18)  	6 duplicate_received
2016-10-24 21:34:58.488841 (79)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.494187 (37)  	5 duplicate_received
2016-10-24 21:34:58.496029 (42)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.504548 (168)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.592393 (38)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.659985 (93)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.705893 (60)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.807812 (56)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.815656 (19)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.881869 (151)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.956632 (166)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.960071 (60)  	6 duplicate_received
2016-10-24 21:34:58.963070 (111)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.965939 (4)  	6 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.967686 (130)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:58.996450 (135)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:34:58.999761 (169)  	5 duplicate_received
2016-10-24 21:34:59.2569 (74)  	6 duplicate_received
2016-10-24 21:34:59.82910 (59)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.93581 (77)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.257987 (153)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.394599 (112)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.447336 (96)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.463091 (39)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.461373 (5)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.518990 (97)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.522188 (3)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.517920 (170)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:59.645932 (39)  	7 duplicate_received
